images,specs,category,product_type,brand,type,sku,normal_price,description,tags,link_tokopedia,link_whatsapp,image_1,image_2,image_3,image_4,slug,name
https://ik.imagekit.io/eropa/products/LED_LG_32LM635_V5bCdBPnR.png?updatedAt=1631598512001 https://ik.imagekit.io/eropa/products/32lm635_2_NX8wSJrQU.png?updatedAt=1631614231543 https://ik.imagekit.io/eropa/products/32lm635_3_DVl7vvCrG.png?updatedAt=1631614231142,"[{""name"":""Berat"",""value"":""12 kg""},{""name"":""Resolusi"",""value"":""1366 x 768""},{""name"":""Jenis Layar"",""value"":""LED""},{""name"":""Ukuran Layar"",""value"":""32 Inch""},{""name"":""Input"",""value"":""2 HDMI, 1 USB""},{""name"":""Audio Power Output"",""value"":""2.0 Ch. / 10W""},{""name"":""Sinyal Digital"",""value"":""Yes""},{""name"":""Sistem Operasi"",""value"":""Web OS 4.0 Smart TV""},{""name"":""Warna"",""value"":""Hitam""}]",TV / LED,32 Inch,LG,32LM635,,3031500,"<p>Samsung 4001 32 Inch dilengkapi dengan teknologi Clean View yang berfungsi bisa mengurangi noise dan interferensi pada layar TV.&nbsp;</p>
<p>Selain itu, teknologi ini juga sambil meningkatkan warna dan kontras untuk tampilan sebening kristal. Nikmati pengalaman multimedia Anda dengan kualitas gambar yang halus.&nbsp;</p>
<p>Karena adanya teknologi Wide Color Enhancer yang bisa meningkatkan kualitas gambar dan mengungkap detail dengan warna sedetail mungkin yang bisa Anda lihat.&nbsp;</p>","tv,smart,smarttv,led,televisi,32,32inch,LG,TvLG",https://www.tokopedia.com/tokoeropa-1/led-lg-32lm635-32-inch-smart-tv,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/LED_LG_32LM635_V5bCdBPnR.png?updatedAt=1631598512001,https://ik.imagekit.io/eropa/products/32lm635_2_NX8wSJrQU.png?updatedAt=1631614231543,https://ik.imagekit.io/eropa/products/32lm635_3_DVl7vvCrG.png?updatedAt=1631614231142,,tv-led-32-inch-lg-32lm635,TV / LED 32 Inch LG 32LM635
https://ik.imagekit.io/eropa/products/LED_SAMSUNG_32N4001AK_YqqQdSeMS.png?updatedAt=1631599230502 https://ik.imagekit.io/eropa/products/32n4001_2._M6binF2T4.png?updatedAt=1631613828081 https://ik.imagekit.io/eropa/products/32n4001_3_VEV4xMeam.png?updatedAt=1631613827581,"[{""name"":""Berat"",""value"":""8 kg""},{""name"":""Panjang"",""value"":""735.7 mm""},{""name"":""Lebar"",""value"":""440.3 mm""},{""name"":""Tinggi"",""value"":""78.5 mm""},{""name"":""Resolusi"",""value"":""1366 x 768""},{""name"":""Jenis Layar"",""value"":""LED""},{""name"":""Ukuran Layar"",""value"":""32 Inch""},{""name"":""Input"",""value"":""1 USB,1 HDMI""},{""name"":""Audio Power Output"",""value"":""2.0 Ch. / 10W""},{""name"":""Sinyal Digital"",""value"":""Yes (DVB-T2)""},{""name"":""Power Supply"",""value"":""AC100-240V 50/60Hz""},{""name"":""Warna"",""value"":""Hitam""}]",TV / LED,32 Inch,Samsung,32N4001AK,,2386500,"<p>Samsung 4001 32 Inch dilengkapi dengan teknologi Clean View yang berfungsi bisa mengurangi noise dan interferensi pada layar TV. Selain itu, teknologi ini juga sambil meningkatkan warna dan kontras untuk tampilan sebening kristal. Nikmati pengalaman multimedia Anda dengan kualitas gambar yang halus. Selain itu, TV Samsung yang satu ini juga menyajikan warna-warna cerah dan kaya yang menakjubkan mata. Hal ini karena adanya teknologi Wide Color Enhancer yang bisa meningkatkan kualitas gambar dan mengungkap detail dengan warna sedetail mungkin yang bisa Anda lihat.&nbsp;</p>","tv,smart,smarttv,led,televisi,32,32inch,TvSamsung,Samsung",https://www.tokopedia.com/tokoeropa-1/led-samsung-32-inch-digital-32n4001ak,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/LED_SAMSUNG_32N4001AK_YqqQdSeMS.png?updatedAt=1631599230502,https://ik.imagekit.io/eropa/products/32n4001_2._M6binF2T4.png?updatedAt=1631613828081,https://ik.imagekit.io/eropa/products/32n4001_3_VEV4xMeam.png?updatedAt=1631613827581,,tv-led-32-inch-samsung-32n4001ak,TV / LED 32 Inch Samsung 32N4001AK
https://ik.imagekit.io/eropa/products/LED_POLYTRON_PLD43AG9953_Pk1TAIpbC.png?updatedAt=1631600026186 https://ik.imagekit.io/eropa/products/ag9953_3_qz3wtRrugvg.jpg?updatedAt=1631605618905 https://ik.imagekit.io/eropa/products/ag99532_qJneiNZNm.jpg?updatedAt=1631605620268,"[{""name"":""Berat"",""value"":""15,8 kg""},{""name"":""Panjang"",""value"":""1126 mm""},{""name"":""Lebar"",""value"":""89 mm""},{""name"":""Tinggi"",""value"":""662 mm""},{""name"":""Resolusi"",""value"":""1920 X 1080""},{""name"":""Rated input selection/impedance"",""value"":""115 W""},{""name"":""Jenis Layar"",""value"":""LED""},{""name"":""Ukuran Layar"",""value"":""43 Inch""},{""name"":""Input"",""value"":""3 HDMI, 2 USB""},{""name"":""Audio Power Output"",""value"":""2.0 Ch. / 5 W""},{""name"":""Sinyal Digital"",""value"":""Yes (DVB-T2)""},{""name"":""Power Supply"",""value"":""180 ~ 240V-50/60Hz""},{""name"":""Warna"",""value"":""Hitam""}]",TV / LED,43 Inch,Polytron,PLD43AG9953,,4087500,<p>POLYTRON PLD43AG9953 Merupakan Smart Tv dengan layar 43inch. Memiliki kualitas gambar yg jernih serta dilengkapi fitur alainnya. Nikmati waktu berkumpul bersama keluarga anda dengan Polytron</p>,"tv,smart,smarttv,led,televisi,43,43inch,TvPolytron,Polytron",https://www.tokopedia.com/tokoeropa-1/led-polytron-43-inch-pld43ag9953-43ag9953-android-smart-mola-digital,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/LED_POLYTRON_PLD43AG9953_Pk1TAIpbC.png?updatedAt=1631600026186,https://ik.imagekit.io/eropa/products/ag9953_3_qz3wtRrugvg.jpg?updatedAt=1631605618905,https://ik.imagekit.io/eropa/products/ag99532_qJneiNZNm.jpg?updatedAt=1631605620268,,tv-led-43-inch-polytron-pld43ag9953,TV / LED 43 Inch Polytron PLD43AG9953
https://ik.imagekit.io/eropa/products/LED_SHARP_2T-C32BG1I_onlU6bA6Z.png?updatedAt=1631600600722 https://ik.imagekit.io/eropa/products/2TC32BG1X_2_KFkqYoH0f.jpg?updatedAt=1631605110406 https://ik.imagekit.io/eropa/products/2TC32BG1X_3_-csA24814z0.jpg?updatedAt=1631605109564 https://ik.imagekit.io/eropa/products/2TC32BG1X_4_5PLkxhZ6i.jpg?updatedAt=1631605108928,"[{""name"":""Berat"",""value"":""5 kg""},{""name"":""Resolusi"",""value"":""1366 x 768""},{""name"":""Rated input selection/impedance"",""value"":""57 W""},{""name"":""Jenis Layar"",""value"":""LED""},{""name"":""Ukuran Layar"",""value"":""32 Inch""},{""name"":""Input"",""value"":""2 HDMI, 1 USB""},{""name"":""Audio Power Output"",""value"":""2.0 Ch. / 7.5W""},{""name"":""Sinyal Digital"",""value"":""Yes (DVB-T2)""},{""name"":""Sistem Operasi"",""value"":""Android 9.0""},{""name"":""Warna"",""value"":""Hitam""}]",TV / LED,32 Inch,Sharp,2TC32BG1I,,3543500,"<p>32 Inch HD-Ready Android TV with Google Assistant 2T-C32BG1i dengan fitur X2 Master Engine, Azan Reminder, Chromecast, Bluetooth Audio Out, Smart Device Control</p>","tv,smart,smarttv,led,televisi,32,32inch,TvSharp,Sharp,Androidtv",https://www.tokopedia.com/tokoeropa-1/led-tv-smart-android-32-inch-sharp-2t-c32bg1i,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/LED_SHARP_2T-C32BG1I_onlU6bA6Z.png?updatedAt=1631600600722,https://ik.imagekit.io/eropa/products/2TC32BG1X_2_KFkqYoH0f.jpg?updatedAt=1631605110406,https://ik.imagekit.io/eropa/products/2TC32BG1X_3_-csA24814z0.jpg?updatedAt=1631605109564,https://ik.imagekit.io/eropa/products/2TC32BG1X_4_5PLkxhZ6i.jpg?updatedAt=1631605108928,tv-led-32-inch-sharp-2tc32bg1i,TV / LED 32 Inch Sharp 2TC32BG1I
https://ik.imagekit.io/eropa/products/LED_POLYTRON_PLD24D8511__iQFBRldwM.png?updatedAt=1631616342001 https://ik.imagekit.io/eropa/products/24d8511_VEf9Cl8pJ.jpg?updatedAt=1631616341462,"[{""name"":""Berat"",""value"":""5 kg""},{""name"":""Panjang"",""value"":""577 mm""},{""name"":""Lebar"",""value"":""97 mm""},{""name"":""Tinggi"",""value"":""364 mm""},{""name"":""Resolusi"",""value"":""1366 X 768""},{""name"":""Rated input selection/impedance"",""value"":""30 W""},{""name"":""Jenis Layar"",""value"":""LED""},{""name"":""Ukuran Layar"",""value"":""24 Inch""},{""name"":""Input"",""value"":""2 HDMI, 1 USB, AV, VGA""},{""name"":""Sinyal Digital"",""value"":""No""},{""name"":""Warna"",""value"":""Hitam""}]",TV / LED,24 Inch,Polytron,PLD24D8511,,1777500,"<p>Inovasi terbaru dari Polytron menghadirkan LED TV Bazzoke, satu-satunya LED TV di Indonesia dengan 4 speaker terintegrasi. Peforma suara LED TV Bazzoke merupakan perpaduan sempurna teknologi Piezo tweeter yang memancarkan gemerincing suara treble ke segala arah, dipadu suara vokal yang jernih dari Neo Speaker, sehingga menghasilkan suara yang begitu sempurna.</p>","tv,,led,televisi,24,24inch,TvPolytron,Polytron",https://www.tokopedia.com/tokoeropa-1/polytron-pld24d8511-led-tv-24-inch-usb-movie,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/LED_POLYTRON_PLD24D8511__iQFBRldwM.png?updatedAt=1631616342001,https://ik.imagekit.io/eropa/products/24d8511_VEf9Cl8pJ.jpg?updatedAt=1631616341462,,,tv-led-24-inch-polytron-pld24d8511,TV / LED 24 Inch Polytron PLD24D8511
https://ik.imagekit.io/eropa/products/LED_SHARP_LC32SA4500__AFRbILqO.png?updatedAt=1631617965686 https://ik.imagekit.io/eropa/products/LC32SA4500Ismart_4_CHlyarDXJ.png?updatedAt=1631617869511 https://ik.imagekit.io/eropa/products/LC32SA4500Ismart_3_6EAFX8CBV.png?updatedAt=1631617868700 https://ik.imagekit.io/eropa/products/LC32SA4500Ismart_2_NQt2sYn17.png?updatedAt=1631617867967,"[{""name"":""Berat"",""value"":""5 kg""},{""name"":""Panjang"",""value"":""731 mm""},{""name"":""Lebar"",""value"":""466 mm""},{""name"":""Tinggi"",""value"":""75 mm""},{""name"":""Resolusi"",""value"":""1366 x 768""},{""name"":""Rated input selection/impedance"",""value"":""44 W""},{""name"":""Jenis Layar"",""value"":""LED""},{""name"":""Ukuran Layar"",""value"":""32 Inch""},{""name"":""Input"",""value"":""2 HDMI, 1 USB""},{""name"":""Audio Power Output"",""value"":""2.0 Ch. / 7.5W""},{""name"":""Sinyal Digital"",""value"":""Yes (DVB-T2)""},{""name"":""Sistem Operasi"",""value"":""Easy Smart 2.0""},{""name"":""Warna"",""value"":""Hitam""}]",TV / LED,32 Inch,Sharp,LC32SA4500I,,2863500,"<p>SHARP LC 32SA4500i, merupakan LED TV berukuran 32 inch dengan layar panel yang memiliki resolusi HD. TV LED ini merupakan smart tv dimana membuat anda dapat menikmati hiburan seperti aplikasi youtube dan browser dengan mudah. Dengan memanfaatkan fitur Wireless Mirroring tanpa koneksi internet untuk menikmati berbagai video atau gambar dari smartphone Anda ke layar yang lebih besar.</p>","tv,smart,smarttv,led,televisi,32,32inch,TvSharp,Sharp,Androidtv",https://www.tokopedia.com/tokoeropa-1/sharp-led-smart-tv-32-inch-hd-lc-32sa4500i-32sa4500-32sa-sa4500,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/LED_SHARP_LC32SA4500__AFRbILqO.png?updatedAt=1631617965686,https://ik.imagekit.io/eropa/products/LC32SA4500Ismart_4_CHlyarDXJ.png?updatedAt=1631617869511,https://ik.imagekit.io/eropa/products/LC32SA4500Ismart_3_6EAFX8CBV.png?updatedAt=1631617868700,https://ik.imagekit.io/eropa/products/LC32SA4500Ismart_2_NQt2sYn17.png?updatedAt=1631617867967,tv-led-32-inch-sharp-lc32sa4500i,TV / LED 32 Inch Sharp LC32SA4500I
https://ik.imagekit.io/eropa/products/Kulkas_AQUA_AQRD190LB_l-Fwh0I8c.png?updatedAt=1631623316133 https://ik.imagekit.io/eropa/products/190lb_2_wkqGplp30.png?updatedAt=1631623350664,"[{""name"":""Berat"",""value"":""25 kg""},{""name"":""Panjang"",""value"":""486 mm""},{""name"":""Lebar"",""value"":""554 mm""},{""name"":""Tinggi"",""value"":""1260 mm""},{""name"":""Rated input selection/impedance"",""value"":""55 W""},{""name"":""Power Supply"",""value"":""220 V/ 50 H""},{""name"":""Cooling System"",""value"":""Direct Cooling""},{""name"":""Warna"",""value"":""Biru corak bunga""},{""name"":""Capacity"",""value"":""162,5 L""}]",Kulkas,1 Pintu,Aqua,AQRD190LB ,,1780500,"<p><span style=""color: rgb(0, 0, 0); font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: pre-wrap; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Aqua AQR-D190-LB/LK merupakan kulkas 1 pintu dengan konsumsi listrik 80 Watt dan Body yang dilapisi oleh metal yang tahan karat sehingga lebih awet dan tahan karat. Sahabat ESer dapat menggunakan kulkas ini dalam waktu yang cukup lama. Aqua AQR-D190-LBsudah terdaftar dan berstandar SNI sehingga kualitas sudah sangat terjamin.</span> </p>","kulkas,1pintu,aqua",https://www.tokopedia.com/tokoeropa-1/kulkas-1-pintu-aqua-aqr-d190-lb-160l-black-with-flower-glossy,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Kulkas_AQUA_AQRD190LB_l-Fwh0I8c.png?updatedAt=1631623316133,https://ik.imagekit.io/eropa/products/190lb_2_wkqGplp30.png?updatedAt=1631623350664,,,kulkas-1-pintu-aqua-aqrd190lb,Kulkas 1 Pintu Aqua AQRD190LB 
https://ik.imagekit.io/eropa/products/Kulkas_LG_GNB195SQ-MT_cNyEIIXpm.png?updatedAt=1631626643020 https://ik.imagekit.io/eropa/products/Kulkas_LG_GNB195SQ-MT_hXwPnXYFo.png?updatedAt=1631626643194,"[{""name"":""Berat"",""value"":""45 kg""},{""name"":""Panjang"",""value"":""555 mm""},{""name"":""Lebar"",""value"":""585 mm""},{""name"":""Tinggi"",""value"":""1400 mm""},{""name"":""Rated input selection/impedance"",""value"":""70 W""},{""name"":""Anti Bunga Es"",""value"":""Yes""},{""name"":""Warna"",""value"":""Dark Graphite Steel\n""},{""name"":""Capacity"",""value"":""202 L""},{""name"":""Jenis"",""value"":""Inverter""},{""name"":""Ice Make"",""value"":""Yes""}]",Kulkas,2 Pintu,LG,GNB195SQMT,,3685500,"<p>Big Size Veggie Box</p>
<p><br></p>
<p>Pull-out Tray</p>
<p>Menjangkau makanan yang lebih dalam dengan lebih mudah.</p>
<p><br></p>
<p>LED Lighting</p>
<p>Lebih hemat energi dan lebih tahan lama dengan lampu bohlam konvensional yang terletak dibagian atas agar kondisi makanan lebih baik .</p>
<p><br></p>
<p>Moist Balance Crisper</p>
<p>Membuat tingkat kelembapan yang optimal sehingga menjaga sayuran dan buah-buahan lebih tahan lama.</p>
<p><br></p>
<p>Multi Air Flow</p>
<p>Pendingin udara disuplai di setiap sudut lemari es dengan beberapa ventilasi pendingin udara.</p>","kulkas,2pintu,LG,Inverter",https://www.tokopedia.com/tokoeropa-1/lg-kulkas-2-pintu-gn-b195sqmt-smart-inverter-lemari-es-tray-ice-maker,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Kulkas_LG_GNB195SQ-MT_cNyEIIXpm.png?updatedAt=1631626643020,https://ik.imagekit.io/eropa/products/Kulkas_LG_GNB195SQ-MT_hXwPnXYFo.png?updatedAt=1631626643194,,,kulkas-2-pintu-lg-gnb195sqmt,Kulkas 2 Pintu LG GNB195SQMT
https://ik.imagekit.io/eropa/products/Kulkas_POLYTRON_PRB289B_hwbES19uS8e.png?updatedAt=1631627883681 https://ik.imagekit.io/eropa/products/289b_2_BTiohDCs8.png?updatedAt=1631627884253,"[{""name"":""Berat"",""value"":""70 kg""},{""name"":""Panjang"",""value"":""568 mm""},{""name"":""Lebar"",""value"":""602 mm""},{""name"":""Tinggi"",""value"":""1640 mm""},{""name"":""Rated input selection/impedance"",""value"":""145 W""},{""name"":""Power Supply"",""value"":""220V""},{""name"":""Anti Bunga Es"",""value"":""Yes""},{""name"":""Pintu"",""value"":""Tempered Glass Door""},{""name"":""Cooling System"",""value"":""4D Quick Freezing""},{""name"":""Warna"",""value"":""Biru corak bunga""},{""name"":""Capacity"",""value"":""240 L""},{""name"":""Ice Make"",""value"":""Yes (Ice Twist)""}]",Kulkas,2 Pintu,Polytron,PRB289B,,2872500,"<p>Fitur :</p>
<p>-Ice Tray</p>
<p>-Extra Big Freezer</p>
<p>-Big Vegetable Box</p>
<p>-Tempered Glass Shelf</p>
<p>-Low Watt</p>
<p>-LED Lighting</p>
<p>-Twist &amp; Ice</p>","kulkas,2pintu,Polytron,Temperedglassdoor",https://www.tokopedia.com/tokoeropa-1/kulkas-polytron-prb289b,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Kulkas_POLYTRON_PRB289B_hwbES19uS8e.png?updatedAt=1631627883681,https://ik.imagekit.io/eropa/products/289b_2_BTiohDCs8.png?updatedAt=1631627884253,,,kulkas-2-pintu-polytron-prb289b,Kulkas 2 Pintu Polytron PRB289B
https://ik.imagekit.io/eropa/products/Kulkas_SHARP_SJN162DSH_BntIpo9A7.png?updatedAt=1631628939302 https://ik.imagekit.io/eropa/products/162dsp-removebg-preview_T04iibcte.png?updatedAt=1631628938836,"[{""name"":""Berat"",""value"":""24 kg""},{""name"":""Panjang"",""value"":""535 mm""},{""name"":""Lebar"",""value"":""550 mm""},{""name"":""Tinggi"",""value"":""970 mm""},{""name"":""Rated input selection/impedance"",""value"":""84 W""},{""name"":""Warna"",""value"":""Pink corak bunga sakura""},{""name"":""Capacity"",""value"":""133 L""}]",Kulkas,1 Pintu,Sharp,SJN162DSP,,1669500,"<p>Fitur :</p>
<p>- New Design Color</p>
<p>- Tempered Glass Tray</p>
<p>- Low Wattage and Low Voltage</p>
<p>- Full Insulation</p>
<p>- Washable Gasket</p>
<p>- Fresh Room</p>
<p>- Semi Automatic Defrost System</p>","kulkas,2pintu,Sharp",https://www.tokopedia.com/tokoeropa-1/kulkas-sharp-sjn162dsp,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Kulkas_SHARP_SJN162DSH_BntIpo9A7.png?updatedAt=1631628939302,https://ik.imagekit.io/eropa/products/162dsp-removebg-preview_T04iibcte.png?updatedAt=1631628938836,,,kulkas-1-pintu-sharp-sjn162dsp,Kulkas 1 Pintu Sharp SJN162DSP
